OBJECTID,COLDETKEY,ST_AGE,ST_CONTRBCIR1_DESC,ST_INJRY_CLSS_DESC,ST_PARTCPNT_TYPE_DESC,ST_PED_ACT_DESC,ST_PED_WAS_USING_DESC,Incident Date,Report Number,x,y
224769994,386657,55,Unknown Distraction,No Injury,Motor vehicle driver,,,5/30/2025,EF98803,-122.3429142,47.63774143
224769995,386657,,None,,Motor vehicle driver,,,5/30/2025,EF98803,-122.3429142,47.63774143
224770006,386282,39,Following Too Closely,No Injury,Motor vehicle driver,,,2/18/2025,EF69770,-122.3334452,47.60834171
224770007,386282,49,None,No Injury,Motor vehicle driver,,,2/18/2025,EF69770,-122.3334452,47.60834171
224770008,385878,16,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,4/29/2025,EF88638,-122.3315511,47.72738442
224770009,385878,49,None,No Injury,Motor vehicle driver,,,4/29/2025,EF88638,-122.3315511,47.72738442
224770012,386477,36,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/8/2025,EF93467,-122.3475095,47.61630718
224770013,386477,38,None,No Injury,Motor vehicle driver,,,5/8/2025,EF93467,-122.3475095,47.61630718
224770014,386618,39,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/28/2025,EF97406,-122.3608162,47.66692607
224770015,386618,69,None,Possible Injury,Motor vehicle driver,,,5/28/2025,EF97406,-122.3608162,47.66692607
224770016,386618,3,,Possible Injury,Motor vehicle passenger,,,5/28/2025,EF97406,-122.3608162,47.66692607
224770017,386813,30,Following Too Closely,No Injury,Motor vehicle driver,,,5/21/2025,EG01347,-122.3629463,47.5563614
224770018,386813,34,None,No Injury,Motor vehicle driver,,,5/21/2025,EG01347,-122.3629463,47.5563614
224770023,386579,43,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/16/2025,EF95700,-122.3120185,47.67941382
224770024,386579,45,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/16/2025,EF95700,-122.3120185,47.67941382
224770025,386579,,None,,Motor vehicle driver,,,5/16/2025,EF95700,-122.3120185,47.67941382
224770026,386300,42,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,1/30/2025,EF70362,-122.3128622,47.60804831
224770027,386300,24,None,No Injury,Motor vehicle driver,,,1/30/2025,EF70362,-122.3128622,47.60804831
224770028,386300,31,None,No Injury,Motor vehicle driver,,,1/30/2025,EF70362,-122.3128622,47.60804831
224770029,386280,45,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/4/2025,EF92438,-122.2672238,47.5389033
224770030,386280,47,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/4/2025,EF92438,-122.2672238,47.5389033
224770031,386280,13,,No Injury,Motor vehicle passenger,,,5/4/2025,EF92438,-122.2672238,47.5389033
224770032,386280,12,,No Injury,Motor vehicle passenger,,,5/4/2025,EF92438,-122.2672238,47.5389033
224770033,385970,65,Did not Grant Right of Way to Non Motorist,No Injury,Motor vehicle driver,,,1/9/2025,EF56738,-122.2958186,47.71831971
224770034,385970,24,None,No Injury,Pedestrian,Crossing -  Non Intersection - In Crosswalk,Marked Cross Walk,1/9/2025,EF56738,-122.2958186,47.71831971
224770038,385971,21,Did not Grant Right of Way to Non Motorist,No Injury,Motor vehicle driver,,,1/13/2025,EF56793,-122.3377972,47.62469614
224770039,385971,20,Operating Reckless or Aggressively,Possible Injury,Motor vehicle driver,,,1/13/2025,EF56793,-122.3377972,47.62469614
224770041,385972,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/11/2025,EF56794,-122.3289823,47.59920257
224770042,385972,37,None,No Injury,Motor vehicle driver,,,1/11/2025,EF56794,-122.3289823,47.59920257
224770043,385972,58,,Unknown,Motor vehicle passenger,,,1/11/2025,EF56794,-122.3289823,47.59920257
224770044,385972,66,,Unknown,Motor vehicle passenger,,,1/11/2025,EF56794,-122.3289823,47.59920257
224770045,386614,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,5/24/2025,EF97405,-122.2553741,47.67584577
224770048,386793,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,4/15/2025,EF84325,-122.3326273,47.70639291
224770049,386793,,None,,Motor vehicle driver,,,4/15/2025,EF84325,-122.3326273,47.70639291
