OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
1705287,386637,Vehicle,25,Blacktop,Signals,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/18/2025,EF97872,-122.2962029,47.57835283
1705288,386168,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/27/2025,EF64790,-122.2985231,47.66852853
1705289,386168,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/27/2025,EF64790,-122.2985231,47.66852853
1705290,386796,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,5/17/2025,EG01179,-122.3169799,47.60085854
1705291,386796,Vehicle,,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/17/2025,EG01179,-122.3169799,47.60085854
1705292,386558,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/19/2025,EF94645,-122.3414414,47.66067809
1705293,386558,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/19/2025,EF94645,-122.3414414,47.66067809
1705294,386243,Vehicle,30,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/11/2025,EF68057,-122.3390871,47.57151214
1705296,386500,Vehicle,,Concrete,No Traffic Control,Making Right Turn,No Defects,Truck Tractor and Semi-Trailer,3/4/2025,EF75149,-122.334227,47.54938519
1705305,386284,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/21/2025,EF69776,-122.3372369,47.55381898
1705306,386284,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Truck (Flatbed, Van, etc)",2/21/2025,EF69776,-122.3372369,47.55381898
1705307,386320,Vehicle,25,Blacktop,Signals,Slowing,No Defects,Passenger Car,2/25/2025,EF70339,-122.3478164,47.73413469
1705308,386320,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,Passenger Car,2/25/2025,EF70339,-122.3478164,47.73413469
