OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679221,273138,SGL-871,ALOHA ST AND FAIRVIEW AVE N,10/10/2025,
679225,273141,SGL-409,20TH AVE NE AND LAKE CITY WAY NE,10/10/2025,FAIR
679227,273144,SGL-341,5TH AVE NE AND NE 103RD ST,4/28/2025,POOR
679230,273147,SGL-505,BOREN AVE AND E YESLER WAY,10/10/2025,POOR
679233,273150,SGL-132,9TH AVE AND VIRGINIA ST,9/12/2025,FAIR
679236,273153,SGL-19,2ND AV ET S AND S JACKSON ST,10/10/2025,POOR
679238,273155,SGL-43,2ND AVE AND COLUMBIA ST,10/10/2025,FAIR
679240,273157,SGL-390,MONTLAKE BLVD E AND EAST MONTLAKE PL E,2/24/2025,FAIR
679241,273158,SGL-326,HARVARD AVE E AND E ALLISON ST,10/10/2025,POOR
679242,273159,SGL-845,ELLIOTT AVE AND W DENNY WAY,2/11/2025,POOR
679244,273161,SGL-537,AIRPORT WAY S AND S OTHELLO ST,10/30/2025,POOR
679245,273162,SGL-907,GREENWOOD AVE N AND N 97TH ST,10/10/2025,POOR
679248,273166,SGL-47,3RD AVE AND CHERRY ST,10/10/2025,POOR
679249,273167,SGL-848,1ST AVE S AND S FOREST ST,10/10/2025,GOOD
679258,273176,SGL-028,CORLISS AVE N AND N NORTHGATE WAY,2/24/2025,
679263,273181,SGL-700,6TH AVE AND CHERRY ST,10/10/2025,FAIR
679269,273187,SGL-909,1ST AVE S AND S ATLANTIC ST,10/10/2025,FAIR
679270,273188,SGL-511,BOREN AVE AND JEFFERSON ST,10/10/2025,FAIR
679274,273191,SGL-304,LATONA AVE NE AND NE 50TH W ST,2/10/2025,FAIR
679275,273191,SGL-304,LATONA AVE NE AND NE 50TH W ST,2/10/2025,FAIR
679279,273195,SGL-623,AIRPORT WAY S AND CORSON AVE S,10/10/2025,POOR
679286,273202,SGL-954,4TH AVE S AND S FIDALGO ST,10/10/2025,POOR
